"","Confort","Securite","Qualite","Force","Maintien","Puissance","Competition","Muscle","Beaute","Galbant","Silhouette","Douceur","Se_defouler","Energie","Legerete","Technicite","Se_relaxer","Bien_etre","Liberte","Fluidite","Resistance","Inconfort","Repetition","Intensite","Ralentissement","Acceleration","Nouveaute","Endurance","Impact","Recuperation","Tolerance","Decouragement","Perseverance","Objectif","Passivite","Brulure","Fatigue","Transpiration","Rythme","Difficulte","Facilite","Lent","Rapide","Ennuyeux","Regulier","Equilibre","Culpabilite","Challenge","Progression","Accompagnement","Lassitude","Confiance_en_soi","Actif","Stretchcing","Efficacite","Discipline","Muscultation","Cardio","Vital","Depassement","Calme","Serenite","Sexy","Plaisir","Groupe","Partage","Role","Performance","Meilleur","Individualiste","detente","clust"
"etudiant_0","0.051592558624047","0.065242252340999","0","0.10279447897913","0","0.13289627138603","0","0","0","0","0","0","0.24499247030583","0.25003113783303","0","0.27164079395813","0.2780948175323","0.28400534438443","0.2898535955705","0.34705096414054","0.35482409955048","0","0","0","0","0","0","0","0.41298957165665","0","0","0","0","0.46880555272484","0","0","0","0.50069635517511","0","0","0","0","0","0","0.62318126747965","0.63614592886987","0","0","0","0","0","0.69468505497243","0.70535683956656","0","0","0","0","0","0","0","0.82575834776997","0.83324841197052","0","0","0.9005967141094","0.90571464157523","0.91111564025046","0","0","0.9300927341282","1","2"
"etudiant_1","0.053564810299425","0","0.10120940212621","0","0.13019604018336","0.14281673656491","0","0.16561981858968","0.18132253974446","0","0.22687018433629","0","0.25262849897591","0.26525894860041","0","0","0","0.31143080074125","0","0","0.35085340875841","0","0","0","0","0.42084268019116","0","0.44642543645762","0","0","0","0","0.50650541304984","0.52503657466108","0","0","0.55683214668877","0.57729445040476","0.59154393835951","0.60188237588998","0.61086511264996","0","0","0","0","0","0","0.74696186482005","0.75587632887935","0","0","0.789144640593","0.79658636496635","0","0.8363893494587","0","0","0.87107188140057","0","0.89414805422803","0","0","0","0.94984882473422","0","0.97466107480737","0","0.99070515946552","1","0","0","3"
"etudiant_2","0.02186421173763","0.071538166474875","0.2301495972382","0.02819332566168","0.028001534330648","0.15995397008055","0.056003068661296","0.043536632144227","0.034330648254699","0.69869581894898","0.15074798619102","0.30130418105102","0.18987341772152","0.10452627541235","0.099731492136555","0.27675489067894","0.049865746068278","0.1536248561565","0.042577675489068","0.18450326045263","0.098580744150364","0.13482930571538","0.35462217107787","0.12025316455696","0.090141925584964","0.066551591868048","0.045646336785577","0.14019946298427","0.14729574223245","0.40314537782892","0.056003068661296","0.040467970847718","0.35462217107787","0.27790563866513","0.061181434599156","0.17740698120445","0.02186421173763","0.046797084771768","0","0.087265055619486","0.072688914461066","0.020713463751438","0.034330648254699","0.43325661680092","0.58668968162639","0.087265055619486","0.1494054468738","0.12428078250863","0.059263521288838","0.11833525124664","0.10874568469505","0.15880322209436","0.18143459915612","0.12447257383966","0.061181434599156","0.65630993479095","0.032412734944381","0.079593402378212","0.060414269275029","0.84464902186421","0.14729574223245","0.02819332566168","0.036248561565017","0.1536248561565","0.62696586114308","0.015726889144611","0.22823168392789","0.46528576908324","0.051016494054469","0.090141925584964","0.017644802454929","1"
"etudiant_3","0.012336219446786","0.037851505631752","0.0098843000536357","0.063136924373611","0.017316680714121","0.013485556662325","0.055627921232089","0.032411309478201","0.068806987970271","0.07202513217378","0.037698260669681","0.039077465328327","0.020458202436595","0.01716343575205","0.025285418741859","0.01678032334687","0.026051643552218","0.0041376139759405","0","0.0035246341276531","0.099302735422573","0.039920312619723","0.072331622097924","0.020917937322811","0.041912497126657","0.018159528005517","0.024212704007356","0.0046739713431921","0.042831966899088","0.22274155237147","0.06635506857712","0.055168186345874","0.017929660562409","0.0061297984828749","0.046586468469849","0.056853880928665","0.027890583097081","0.02413608152632","0.035246341276531","0.032871044364416","0.051490307256149","0.070032947666845","0.0080453605087733","0.020304957474523","0.014175158991648","0.027890583097081","0.031568462186806","0.014481648915792","0.013868669067504","0.070032947666845","0.097387173396675","0.017929660562409","0.0018389395448625","0.041376139759405","0.033024289326488","0.026358133476362","0.94337598651444","0.025362041222895","0.010420657420887","0.02413608152632","0.050877327407862","0.017929660562409","0.02658800091947","0.0085050953949889","0.019155620258984","0.0036778790897249","0.022220519500421","0.010420657420887","0.013562179143361","0.11539345644012","0.050187725078538","1"
"etudiant_4","0.10218612113919","0.065082230244685","0.052246289610911","0.018050541516246","0.0220617729643","0.076714801444043","0","0.11903329322102","0","0.13046530284797","1","0.21259526674689","0.043321299638989","0.013537906137184","0.009927797833935","0.018551945447252","0.013638186923386","0.010028078620136","0.0081227436823105","0.012033694344164","0.0081227436823105","0.011231448054553","0.0089249899719214","0.012835940633775","0.010028078620136","0.0090252707581227","0.01173285198556","0.0080224628961091","0.013537906137184","0.010228640192539","0.013036502206177","0.0098275170477336","0.013537906137184","0.01173285198556","0.013537906137184","0.011532290413157","0.010228640192539","0.012033694344164","0.0098275170477336","0.013136782992379","0.011532290413157","0.011632571199358","0.011833132771761","0.01173285198556","0.013337344564781","0.32089851584436","0","0","0.016546329723225","0.070697954271962","0","0.020056157240273","0","0.087043722422784","0.053549939831528","0.015042117930205","0","0.067087845968712","0.014941837144003","0","0.025170477336542","0.060168471720818","0","0.02868030485359","0.080324909747292","0.058162855996791","0","0.035098275170477","0.032190132370638","0","0.04191736863217","1"
"etudiant_5","0.17143366301346","-0.19762986723692","0.12821883631827","0.1062995633966","-0.15619709525082","0.089726454602156","0.10193352935935","0.16020671834625","0.18239329947429","-0.20876770916867","0","0","0.11592265882563","0.10077519379845","0.12269446672013","0.092310433930322","0.16590929341531","0.35944043482135","0.22266773589949","0.11173483025929","0.11030918649202","0","0.200392052036","0","0","0.093914283168493","0","0.088033502628531","0.18114586117794","0.1421188630491","0","0.36790519468948","0.12287267219104","0.1366835961864","0.62273901808786","0.12839704178918","0.10505212510024","0.088211708099439","0.13819834268912","0.32771986099973","0","0","0.078588612670409","-0.20190679853871","0.40951617214649","0.12706050075737","0","0.11859574088925","0.086964269803083","-0.14505925331908","-0.089726454602156","0.15200926668449","0.09248863940123","1","0.68778401496926","0.12857524726009","0.084112982268556","0.10772520716386","0.10344827586207","0.42751492470819","0","0","0","0.26410050788559","0.10220083756571","0.10175532388844","0.2722088568119","0.46048293682616","0.081439900204936","0","0","1"
"etudiant_6","0.1045118949959","0.12649712879409","0.19786710418376","0.13092698933552","0.16800656275636","0.099425758818704","0.094175553732568","0.1045118949959","0.25397867104184","0.2876127973749","0.099425758818704","0.11517637407711","0","0.12288761279738","0.21246923707957","0.14716981132075","0.15832649712879","0.12321575061526","0.12009844134537","0.11812961443806","0.094339622641509","0.12797374897457","0.11140278917145","0.12223133716161","0.15898277276456","0.092698933552092","0.14470877768663","0.11156685808039","0.11074651353569","0.12075471698113","0.08039376538146","0.2259228876128","0.66858080393765","0.072682526661198","0.23068088597211","0.25873666940115","0.13847415914684","0.11074651353569","0.11534044298605","0.38408531583265","0.26940114848236","0.15258408531583","0.091222313371616","0.13256767842494","0.090073831009024","0.1045118949959","0.13995077932732","0.11993437243642","0.15570139458573","0.093519278096801","0.1422477440525","0.19704675963905","0.078424938474159","0.18982772764561","0.08597210828548","0.96899097621001","0.082362592288761","0.092370795734208","0.13814602132896","0.16685808039377","0.28974569319114","0.15110746513536","0.30123051681706","0.19507793273175","0.12830188679245","0.091878589007383","0.24265791632486","0.1312551271534","0.077440525020509","0.17456931911403","0.13929450369155","1"
"etudiant_7","-0.059275725645345","0.0845704884641","-0.10359786909005","0","0","0","0","0","0","-0.2020447334404","0","-0.23135453797642","0.24481961690626","0.25366250146892","0.26404285322574","0.27598025774609","0","0","0.31682596263073","0.32783305260684","0","0.35505699400682","0","0.37983273923773","0","0","0","0","0.44859767323436","0","0.48043401621685","0.50187042187316","0.51404285322574","0.52963296643033","0","0.55713110580125","0.56916643816836","0.57883191664382","0.58909475498453","0.60328449998041","0.62931372164989","0.64824317442908","0","0","0","0.70419914606918","0","0.73797446041756","0.74836460495907","0.76718633710682","0","0","0.8056230169611","-0.81821653805476","0","0","0","0","0","0.8868149947119","0.89812566101297","0.91415644952799","0","0","0","0","0","0","0","1","0","2"
"etudiant_8","0.014388456809861","0","0","0.057180042602442","0.068204437679293","0.097994622905342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.44047141898556","0","0","0","0","0.49033789230499","0.49698045061314","0","0","0.5340842051222","0.54044755080994","0","0.55906923121957","0","0","0","0","0.60871053307093","0.64276546590229","0","0.65836984863974","0.67392019022486","0","0","0.69216808599749","0.69575281576921","0","0","0","0","0","0","0","0","0","0","0.97177700819174","0","0","0","1","0","0","0","2"
"etudiant_9","0","0","0.091489361702128","0.092793411118737","0.07343857240906","0.054632807137955","0.062113932738504","0.077556623198353","0.096568291008922","1","0.067536032944406","0","0.078997940974605","0.11098146877145","0","0.06636925188744","0.22663006177076","0.08009608785175","0","0","0.07213452299245","0","0.069732326698696","0.068840082361016","0","0.12244337680165","0.076733013040494","0.083527796842828","0","0.075497597803706","0.099656829100892","0","0.083665065202471","0.071928620452986","0","0","0","0","0.12361015785861","0.4063829787234","0","0","0.040150995195607","0","0.075703500343171","0.097391901166781","0","0.075428963623885","0.073507206588881","0.13019903912148","0","0.072065888812629","0.067604667124228","0","0.056074124914207","0","0.068634179821551","0.14989704873027","0.060741249142073","0.073507206588881","0.091489361702128","0","0","0.055113246396706","0.14632807137955","0.15785861358957","0.17055593685656","0.06417295813315","0","0","0.060260809883322","1"
