,Confort,Securite,Qualite,Force,Maintien,Puissance,Competition,Muscle,Beaute,Galbant,Silhouette,Douceur,Se_defouler,Energie,Legerete,Technicite,Se_relaxer,Bien_etre,Liberte,Fluidite,Resistance,Inconfort,Repetition,Intensite,Ralentissement,Acceleration,Nouveaute,Endurance,Impact,Recuperation,Tolerance,Decouragement,Perseverance,Objectif,Passivite,Brulure,Fatigue,Transpiration,Rythme,Difficulte,Facilite,Lent,Rapide,Ennuyeux,Regulier,Equilibre,Culpabilite,Challenge,Progression,Accompagnement,Lassitude,Confiance_en_soi,Actif,Stretchcing,Efficacite,Discipline,Muscultation,Cardio,Vital,Depassement,Calme,Serenite,Sexy,Plaisir,Groupe,Partage,Role,Performance,Meilleur,Individualiste,detente
etudiant_0,0.0727318803852002,0.06502787633046123,0.07967562088190573,0.0983274201723264,0.02909275215408008,0.032083122149011656,0.030410542321338063,0.019766852508869743,0.034414597060314245,0.3185504308160162,0.015914850481500254,0.039635073492143943,0.031779016725798276,0.009883426254434871,0.03862138874809934,0.043537759756715665,0.09239736441966548,0.05058286872782564,0.01485048150025342,0.03558033451596553,0.03831728332488596,0.9646730866700456,0.048656867714140906,0.00963000506842372,0.02402432843385707,0.03588443993917891,0.15712113532691332,0.03765838824125697,0.04308160162189559,0.02027369488089204,0.5765838824125696,0.07683730359858085,0.04049670552458186,0.02417638114546376,0.0742524075012671,0.04409528636594019,0.029042067916877853,0.07293461733400912,0.034718702483527625,0.6868727825646224,0.05179929042067917,0.012873796249366447,0.01839837810440953,0.07972630511910796,0.026761277242777496,0.015864166244298022,0.04688291941206285,0.058084135833755705,0.0,0.017232640648758235,0.07065382665990877,0.02326406487582362,0.019513431322858592,0.2885960466294982,0.0680182463253928,0.050937658388241255,0.4516472377090725,0.169386720729853,0.11054232133806387,0.022149011657374557,0.6557526609224531,0.015610745058286872,0.07937151545869235,0.206386213887481,0.16923466801824633,0.00486568677141409,0.031170805879371516,0.010998479472883934,0.03588443993917891,0.025494171312721744,0.0245818550430816
etudiant_1,0.9782293178519593,0.25665215287856796,0.3703434929850024,0.252781809385583,0.3231736816642477,0.32752781809385584,0.2525399129172714,0.2997097242380261,0.3154329946782777,0.2997097242380261,0.29196903725205614,0.26463473633284956,0.397677793904209,0.40977261731978715,0.28398645379777454,0.28035800677310113,0.2447992259313014,0.382196419932269,0.2447992259313014,0.25665215287856796,0.3548621190130624,0.20948234155781326,0.21335268505079827,0.16666666666666666,0.4547653604257378,0.24262215771649734,0.3016448959845186,0.02733430091920658,0.386066763425254,0.4371069182389937,0.42670537010159654,0.4003386550556362,0.4308176100628931,0.36502177068214803,0.33115626511852925,0.4501693275278181,0.32583454281567487,0.5130624092888244,0.1961780358006773,0.10377358490566038,0.021286889211417512,0.014997581035316884,0.19254958877600387,0.28011611030478956,0.18650217706821481,0.04837929366231253,0.015481373971940009,0.011611030478955007,0.01741654571843251,0.014997581035316884,0.01741654571843251,0.01741654571843251,0.013546202225447508,0.01451378809869376,0.016690856313497822,0.0,0.24866956942428642,0.018867924528301886,0.017900338655055636,0.016932752781809387,0.0200774068698597,0.01741654571843251,0.015723270440251572,0.01910982099661345,0.021286889211417512,0.021528785679729077,0.018867924528301886,0.021286889211417512,0.017900338655055636,0.02443154329946783,0.017658442186744075
etudiant_2,0.0700481812887171,0.05432307936676021,0.06263567533223911,0.0875734632286758,0.0900619473712077,0.1527505691745645,0.10128659924816011,0.0901678403134431,0.1003865092391592,0.43516704611637635,0.41843596124318316,0.0411923545295706,0.0646476412347117,0.0,0.1690580822788161,0.0188489437179012,0.11044633875152221,0.044951553978927306,0.0171546566421348,0.019749033726902104,0.0335680626886218,0.0753957748716048,0.047122359294753,0.06438290887912321,0.07089532482660031,0.0028061629692381004,0.18769524011224653,0.06131201355429661,0.12956001482501192,0.0248318949542013,0.9484830836024779,0.09922168687456981,0.031185471488325303,0.0185842113623127,0.09037962619791391,0.19023667072589612,0.0680891618573622,0.2643617302906761,0.018001800180018002,0.0369036903690369,0.0059829512363001,0.1352782337057235,0.09297400328268121,0.08842060676655901,0.0325091332662678,0.0146661724996029,0.060888441785355005,0.10986392756922751,0.03176788267062,0.07809604489860751,0.188489437179012,0.0535288822999947,0.028008683221263302,0.23344099115793931,0.42055382008789116,0.07751363371631281,0.10647535341769471,0.007306613014242601,0.016307513104251603,0.1587335204108646,0.035527082119976704,0.013713136019484302,0.28580505109334464,0.022343410811669403,0.0076772383120665005,0.10382802986180971,0.1330544819187801,0.0315560967861492,0.0702070207020702,0.135013501350135,0.17567639116852862
etudiant_3,0.2904191616766467,0.741154055525313,0.15351115949918345,0.21692977681001632,0.16739248775176918,0.18508437670114317,0.3051170386499728,0.2754491017964072,0.42596624931954274,0.38023952095808383,0.25040827436037016,0.1145890038105607,0.1633097441480675,0.2683723462166576,0.27517691888949375,0.08982035928143713,0.2561241154055525,0.11594991834512793,0.09335873707131193,0.108056614044638,0.29123571039738705,0.1603157321720196,0.8587370713119216,0.45617855198693524,0.13962983124659772,0.06423516603157321,0.4488296135002722,0.20223189983669027,0.2120304844855743,0.3666303756124115,0.26918889493739795,0.2275449101796407,0.3546543277082199,0.1633097441480675,0.16167664670658682,0.23979314099074578,0.2593903102885139,0.7784431137724551,0.23244420250408274,0.2822536744692433,0.16167664670658682,0.37969515514425695,0.03728905824714208,0.17610234077299947,0.013336962438758846,0.05280348394120849,0.1537833424060969,0.15296679368535657,0.39439303211758303,0.17474142623843222,0.09227000544365814,0.11785519869352205,0.08219923788786064,0.0,0.13690800217746327,0.14099074578116494,0.09689711486118671,0.12656505171475232,0.08791507893304301,0.15596080566140447,0.009254218835057159,0.1366358192705498,0.33941208492106695,0.18508437670114317,0.3004899292324442,0.09227000544365814,0.07974959172563963,0.236254763200871,0.24986390854654328,0.2721829069134458,0.3336962438758846
etudiant_4,0.029809220985691574,0.09888712241653418,0.04507154213036566,0.15858505564387917,0.11645468998410174,0.06772655007949126,0.05023847376788553,0.0724960254372019,0.07694753577106518,0.21255961844197138,0.20969793322734498,0.35158982511923687,0.11057233704292528,0.08441971383147853,0.08370429252782194,0.042527821939586645,0.06184419713831479,0.016693163751987282,0.010333863275039745,0.0514308426073132,0.07098569157392687,0.061685214626391094,0.03863275039745628,0.04896661367249602,0.10063593004769475,0.05397456279809221,0.04562798092209857,0.14761526232114466,0.08370429252782194,0.11009538950715421,0.29062003179650236,0.10818759936406995,0.045151033386327505,0.024721780604133544,0.07448330683624801,0.036009538950715424,0.10945945945945947,0.037758346581876,0.04992050874403815,0.028616852146263912,0.025437201907790145,0.049046104928457866,0.0,0.05699523052464229,0.053656597774244835,0.3323529411764706,0.2023052464228935,0.06565977742448331,0.9471383147853736,0.13664546899841018,0.12670906200317966,0.07297297297297298,0.05023847376788553,0.40715421303656596,0.07853736089030207,0.21271860095389508,0.1624006359300477,0.06558028616852146,0.36589825119236885,0.05794912559618442,0.06828298887122417,0.1210651828298887,0.029650238473767885,0.04507154213036566,0.21677265500794912,0.0602543720190779,0.05922098569157393,0.06907790143084261,0.07782193958664547,0.06303656597774245,0.15977742448330684
etudiant_5,0.06293402777777778,0.18587239583333334,0.04796006944444445,0.0654296875,0.06456163194444445,0.036783854166666664,0.025607638888888888,0.13856336805555555,0.029188368055555556,0.027777777777777776,0.03993055555555555,0.05577256944444445,0.0779079861111111,0.0673828125,0.08040364583333333,0.030924479166666668,0.2650824652777778,0.0751953125,0.11729600694444445,0.03407118055555555,0.057183159722222224,0.04188368055555555,0.029405381944444444,0.1130642361111111,0.04416232638888889,0.2761501736111111,0.05284288194444445,0.0546875,0.009331597222222222,0.009006076388888888,0.06640625,0.028754340277777776,0.061848958333333336,0.009223090277777778,0.034722222222222224,0.1684027777777778,0.1111111111111111,0.055338541666666664,0.12315538194444445,0.19227430555555555,0.1181640625,0.11490885416666667,0.0,0.0751953125,0.7261284722222222,0.9203559027777778,0.10709635416666667,0.07042100694444445,0.1201171875,0.031141493055555556,0.015950520833333332,0.05164930555555555,0.036458333333333336,0.84375,0.091796875,0.034722222222222224,0.014756944444444444,0.019314236111111112,0.1449652777777778,0.1017795138888889,0.033203125,0.05772569444444445,0.2485894097222222,0.10101996527777778,0.283203125,0.03125,0.015190972222222222,0.004774305555555556,0.03298611111111111,0.03298611111111111,0.017035590277777776
etudiant_6,0.3170442695990141,0.04915157834865864,0.04450658830220874,0.04185230827566594,0.044127405441274054,0.036401554649729835,0.02147122950042658,0.009858754384301829,0.018864347331500615,0.971134704711347,0.14792871362214427,0.02886529528865295,0.020949853066641388,0.015356905867854773,0.07446203431604892,0.03208834960659778,0.011849464404208929,0.0112806901128069,0.0009953550099535502,0.01417195942743388,0.014598540145985401,0.031377381742345244,0.0396720068252915,0.024836477391221915,0.04071475969286188,0.024931273106455588,0.1206275476348469,0.2602142383164281,0.3553891364110342,0.019006540904351124,0.06104844061048441,0.025547445255474453,0.031472177457578916,0.014077163712200209,0.030713811735709546,0.05412835339842639,0.02071286377855721,0.15707650014219357,0.007251872215375865,0.008389420798179923,0.0038392264669636932,0.005166366480235093,0.0,0.007251872215375865,0.6507725850791545,0.0165892501658925,0.0617120106171201,0.032277941037065126,0.032183145321831454,0.17812114892406863,0.22096881220968811,0.018864347331500615,0.0185799601857996,0.03659114608019717,0.046307706891648495,0.013366195847947673,0.016447056593041996,0.01341359370556451,0.04701867475590103,0.062470376338989476,0.024599488103137737,0.12432458052896009,0.029528865295288653,0.06436629064366291,0.027490757417764716,0.009858754384301829,0.05062091193478055,0.04175751256043227,0.03346288747748602,0.06943786140866433,0.06100104275286757
etudiant_7,0.37560691396387647,0.31268207418916294,0.20936104097883085,0.048164692173237524,0.41017673334628085,0.0959409594095941,0.36298310351524565,0.3299669838803651,0.1495436006991649,0.43600699164886386,0.34472713148184114,0.1211885803068557,0.16915906001165273,0.06642066420664207,0.43251116721693533,0.3068557001359487,0.2781122548067586,0.09632938434647505,0.02990872013983298,0.1590600116527481,0.1681879976694504,0.1174985434064867,0.27850067974363957,0.4806758593901728,0.3658962905418528,0.1270149543600699,0.15420469994173627,0.07651971256554671,0.12371334239658185,0.16119634880559333,0.09574674694115362,0.14993202563604582,0.5080598174402796,0.06447853952223732,0.134006603223927,0.3101573120994368,0.22703437560691397,0.03981355603029715,0.13963876480870072,0.08059817440279667,0.07088755098077297,0.02641289570790445,0.0013594872790833172,0.07321810060205865,0.10992425713730822,0.041755680714701884,0.15575839968926006,0.1777044086230336,0.12390755486502233,0.16663429792192658,0.13439502816080792,0.03223926976111866,0.03398718197708293,0.8628859972810254,0.24509613517187803,0.1592542241211886,0.04544571761507089,0.051854729073606526,0.046028355020392306,0.029326082734511556,0.0,0.004466886774130899,0.10973004466886774,0.04583414255195183,0.01650805981744028,0.03010293260827345,0.11477956884832007,0.08584191105068946,0.020392309186249756,0.04272674305690426,0.03301611963488056
etudiant_8,0.0,0.2796257796257796,0.170997920997921,0.4475051975051975,0.4441268191268191,0.3303014553014553,0.18944906444906445,0.4877858627858628,0.19126819126819128,0.3134095634095634,0.27156964656964655,0.2292099792099792,0.1995841995841996,0.18269230769230768,0.3388773388773389,0.3217255717255717,0.33186070686070684,0.19386694386694386,0.23596673596673598,0.1761954261954262,0.49064449064449067,0.2713097713097713,0.36564449064449067,0.19542619542619544,0.39604989604989604,0.22583160083160084,0.43217255717255715,0.3048336798336798,0.2066008316008316,0.6444906444906445,0.28144490644490644,0.2390852390852391,0.2531185031185031,0.26455301455301455,0.3833160083160083,0.25025987525987525,0.24974012474012475,0.3266632016632017,0.29677754677754675,0.9511434511434511,0.1813929313929314,0.23076923076923078,0.13201663201663202,0.17281704781704782,0.7123180873180873,0.1696985446985447,0.23544698544698545,0.20556133056133055,0.31756756756756754,0.6003118503118503,0.23986486486486486,0.8458939708939709,0.3173076923076923,0.4007276507276507,0.1845114345114345,0.420997920997921,0.3157484407484408,0.17827442827442827,0.21465696465696466,0.321985446985447,0.14656964656964658,0.1704781704781705,0.23154885654885654,0.610966735966736,0.49194386694386694,0.15852390852390852,0.15228690228690228,0.1600831600831601,0.1255197505197505,0.23362785862785862,0.1741164241164241
etudiant_9,0.014239028944911298,0.00665266106442577,0.012371615312791783,0.010387488328664799,0.004668534080298786,0.0169234360410831,0.0021008403361344537,0.01984126984126984,0.0031512605042016808,0.013888888888888888,0.004668534080298786,0.012371615312791783,0.004668534080298786,0.17273576097105509,0.17483660130718953,0.19957983193277312,0.10889355742296919,0.16013071895424835,0.23809523809523808,0.9990662931839402,0.18335667600373481,0.003968253968253968,0.018090569561157798,0.0029178338001867414,0.020891690009337067,0.0,0.022175536881419235,0.005952380952380952,0.017040149393090568,0.005718954248366013,0.014239028944911298,0.004785247432306256,0.0169234360410831,0.005835667600373483,0.03046218487394958,0.005485527544351073,0.014122315592903828,0.008753501400560224,0.01680672268907563,0.003851540616246499,0.018674136321195144,0.0005835667600373483,0.02054154995331466,0.00023342670401493932,0.0196078431372549,0.6386554621848739,0.02369281045751634,0.00665266106442577,0.014122315592903828,0.00665266106442577,0.014355742296918767,0.006535947712418301,0.014122315592903828,0.0068860877684407094,0.012021475256769375,0.012488328664799254,0.008520074696545284,0.012138188608776844,0.010620915032679739,0.01027077497665733,0.012254901960784314,0.01050420168067227,0.01027077497665733,0.02042483660130719,0.004201680672268907,0.017040149393090568,0.005952380952380952,0.01610644257703081,0.006419234360410831,0.017740429505135387,0.004668534080298786
etudiant_10,0.6123595505617978,0.8838951310861424,0.07193214364397445,0.05717118307997356,0.09429389733421459,0.053536021150033045,0.048909451421017845,0.029852390394359992,0.005287508261731659,0.0036351619299405157,0.003525005507821106,0.003525005507821106,0.005397664683851069,0.0036351619299405157,0.026657854152897113,0.0036351619299405157,0.005397664683851069,0.0018726591760299626,0.003525005507821106,0.001762502753910553,0.0036351619299405157,0.0,0.003525005507821106,0.0018726591760299626,0.005397664683851069,0.001762502753910553,0.005397664683851069,0.0055078211059704785,0.0034148490857016964,0.0071601674377616215,0.005397664683851069,0.007821105970478078,0.002974223397224058,0.009583608724388631,0.01013439083498568,0.00749063670411985,0.010244547257105089,0.007821105970478078,0.013659396342806785,0.010795329367702137,0.0196078431372549,0.04152897113901741,0.04064771976206213,0.0403172504957039,0.11599471249173827,0.053536021150033045,0.038334434897554524,0.048028200044062566,0.04064771976206213,0.04252037893809209,0.04218990967173386,0.08570169640890064,0.9821546596166556,0.21799955937431154,0.1278916060806345,0.09065873540427406,0.26096056400088125,0.09363295880149813,0.1267900418594404,0.17680105750165234,0.09892046706322978,0.09748843357567746,0.11511346111478299,0.0967173386208416,0.1370345891165455,0.07810090328266138,0.10575016523463318,0.07755012117206433,0.08548138356466183,0.218660497907028,0.09583608724388631
etudiant_11,0.11534220392560465,0.26920532235536276,0.13460266117768138,0.0999044328456958,0.0939498640005881,0.04756303756524296,0.0749099463353672,0.06660295523046386,0.29905167977651986,0.6284643093435271,0.0684407851209292,0.28699551569506726,0.2144379916194957,0.36572814820260235,0.18473866058957583,0.11578328309931633,0.4440932147320444,0.08336396383150775,0.07579210468279056,0.05719326619128134,0.09027420421965743,0.06307432184077041,0.1357053591119606,0.05947217525545836,0.4526942586194222,0.08101154157171213,0.14511504815114312,0.05234139528045284,0.03322796441961332,0.023744762184812175,0.020069102403881496,0.012129677277071234,0.01514371829743439,0.039329559655958246,0.06991104903330148,0.04631331323972653,0.03580092626626479,0.022348011468058517,0.03440417554951114,0.032051753289715504,0.01227670366830846,0.002940527824744542,0.0010291847386605896,0.0011026979342792032,0.0010291847386605896,0.0,0.00022053958685584063,0.0005145923693302948,0.00036756597809306773,0.000955671543041976,0.0018378298904653384,0.0010291847386605896,0.12857457913695508,0.0022789090641770196,0.0868190840255826,0.030875542159817686,0.0070572667793869,0.20120561640814527,0.9879438359185474,0.07961479085495847,0.19172241417334412,0.14408586341248253,0.17143277218260677,0.07851209292067926,0.061383518341542306,0.0516062633242667,0.08365801661398221,0.041167389546423586,0.029772844225538483,0.03903550687348379,0.032713372050283025
etudiant_12,0.20086393088552915,0.16457883369330453,0.8388768898488121,0.09546436285097193,0.11922246220302375,0.049028077753779695,0.04168466522678186,0.012742980561555076,0.06652267818574514,0.1330453563714903,0.09438444924406048,0.06781857451403887,0.21706263498920086,0.041900647948164144,0.09676025917926566,0.04535637149028078,0.07840172786177106,0.16652267818574515,0.10280777537796976,0.1330453563714903,0.11187904967602592,0.1429805615550756,0.1408207343412527,0.0695464362850972,0.12483801295896328,0.02224622030237581,0.052483801295896325,0.05939524838012959,0.049028077753779695,0.054643628509719225,0.2205183585313175,0.26954643628509717,0.05939524838012959,0.3185745140388769,0.08423326133909287,0.16198704103671707,0.016198704103671708,0.03952483801295896,0.03153347732181425,0.016198704103671708,0.26954643628509717,0.06997840172786177,0.0,0.07688984881209503,0.1330453563714903,0.018574514038876888,0.12829373650107992,0.3958963282937365,0.08725701943844492,0.1205183585313175,0.061339092872570194,0.09460043196544277,0.03498920086393088,0.11900647948164148,0.22894168466522677,0.6125269978401728,0.03844492440604751,0.03498920086393088,0.054643628509719225,0.3444924406047516,0.10475161987041037,0.07019438444924406,0.054643628509719225,0.06760259179265658,0.042116630669546434,0.024838012958963283,0.06609071274298056,0.05939524838012959,0.05593952483801296,0.08617710583153347,0.1958963282937365
etudiant_13,0.07736183876964678,0.015759675511238802,0.015759675511238802,0.010309278350515464,0.058940341389217506,0.11576812573939496,0.12261281054588474,0.0351529491296265,0.014196383302349163,0.23086023322629712,0.3999915497718438,0.08762886597938144,0.04841980733479804,0.013224607064390739,0.04732127767449721,0.9732972790265337,0.09502281561602163,0.020745310123373332,0.0068869359472705765,0.036969748183200944,0.024674666215987833,0.04203988507689708,0.03422342403244888,0.0820094642555349,0.06160216325840798,0.01715396315700524,0.04182862937299307,0.022055095487578166,0.022519858036166976,0.022562109176947776,0.03447693087713368,0.034772688862599294,0.16706101064728748,0.013055602501267534,0.012295081967213115,0.07203819503126585,0.028012506337671116,0.0780801081629204,0.021252323812742942,0.013097853642048336,0.0780378570221396,0.0,0.025519689031603853,0.024463410512083825,0.05615176609768464,0.007689707622105797,0.017069460875443636,0.017322967720128445,0.013773871894541153,0.01411188102078756,0.03287138752746324,0.059616359641710324,0.01094304546222748,0.10985296603008281,0.01711171201622444,0.06485550109852967,0.015294912962649992,0.018970762210579684,0.013266858205171539,0.027125232381274296,0.06303870204495521,0.08703735000845023,0.03422342403244888,0.07672807165793477,0.0068869359472705765,0.009041744127091432,0.021801588642893357,0.022181848909920567,0.007943214466790603,0.0507858712185229,0.08141794828460368
etudiant_14,0.0,0.0,0.05953586327001741,-0.10846507274355478,0.12663633622687528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27387847123783293,0.0,0.2873921671864242,0.0,0.3007933615037418,0.3067469478307435,0.31181852136855986,0.0,0.0,0.37030136936985586,0.0,-0.0,-0.41434800804611666,0.42382064539935826,0.0,-0.447738492208137,0.4948541753855431,0.0,0.0,0.5305891935433064,0.5427933705038723,0.0,0.0,0.5640696790103457,0.570473271862442,0.5779388801137616,0.5927170943978688,0.0,0.0,0.0,0.0,0.6635076208605025,0.6700057150828687,0.0,0.6877854728893569,0.6927625450569034,0.7012901687074462,0.0,0.0,-0.7251000139502023,0.7455438103852506,0.7637060737380692,0.7692096535399763,-0.8440007380107012,0.8516913495245682,0.0,0.0,0.0,0.881108276070003,0.0,0.9353970632574172,0.9440416886044848,0.9493292652743465,0.0,0.9653089969804562,0.9809152232707374,0.0,1.0
