"","Confort","Securite","Qualite","Force","Maintien","Puissance","Competition","Muscle","Beaute","Galbant","Silhouette","Douceur","Se_defouler","Energie","Legerete","Technicite","Se_relaxer","Bien_etre","Liberte","Fluidite","Resistance","Inconfort","Repetition","Intensite","Ralentissement","Acceleration","Nouveaute","Endurance","Impact","Recuperation","Tolerance","Decouragement","Perseverance","Objectif","Passivite","Brulure","Fatigue","Transpiration","Rythme","Difficulte","Facilite","Lent","Rapide","Ennuyeux","Regulier","Equilibre","Culpabilite","Challenge","Progression","Accompagnement","Lassitude","Confiance_en_soi","Actif","Stretchcing","Efficacite","Discipline","Muscultation","Cardio","Vital","Depassement","Calme","Serenite","Sexy","Plaisir","Groupe","Partage","Role","Performance","Meilleur","Individualiste","detente","clust"
"etudiant_0","0.14022787028922","0.1375985977213","0.12094653812445","0.050248320186971","0.20040899795501","0.30528775927549","0.35349108968741","0.035933391761613","0.15045281916448","0.10780017528484","0.27578147823547","0.13555360794625","0.073911773298276","0.012269938650307","0.38650306748466","0.32486123283669","0.21589249196611","0.059888986269354","0.30090563832895","0.15921706105755","0.057843996494303","0.1229915278995","0.098159509202454","0.042068361086766","0.1498685363716","0.024539877300614","0.19456617002629","0.030674846625767","0.14052001168566","0.028921998247152","0.2378030966988","0.31931054630441","0.050248320186971","0.18784691790827","0.10575518550979","0.34501898919077","0.062226117440841","0.021910604732691","0.026584867075665","0.20625182588373","0.23751095530237","0.11218229623138","0","0.29360210341805","0.11802512416009","0.1881390593047","0.1954425942156","0.14723926380368","0.054922582529945","0.25562372188139","0.31054630441134","0.07011393514461","0.025708442886357","0.19018404907976","0.019281332164768","0.081215308209173","0.017236342389717","0.021618463336255","0.097575226409582","0.10721589249197","0.2182296231376","0.19398188723342","0.13175576979258","0.049664037394099","0.7849839322232","0.27023079170318","0.15395851592171","0.026292725679229","0.2378030966988","0.059304703476483","0.19222903885481","1"
"etudiant_1","0.25984714873604","0.063786008230453","0.0047031158142269","0.020282186948854","-0.10170487948266","0.020282186948854","0.18577307466196","0.029394473838918","0.034097589653145","-0.1766607877719","-0.13727219282775","-0.20546737213404","0.78894767783657","0","-0.14697236919459","0.039094650205761","0.12257495590829","0.10787771898883","0.22516166960611","-0.16666666666667","0.083480305702528","-0.58788947677837","-0.18136390358613","0.73133450911229","-0.21928277483833","0.11258083480306","0.073486184597296","0.16166960611405","0.20076425631981","0.16666666666667","0.50470311581423","-0.58818342151675","0.11787184009406","0.063492063492064","0.06848912404468","0.36743092298648","0.46149323927102","0.47472075249853","0.74514991181658","-0.45590828924162","0.42210464432687","-0.32774838330394","0.044091710758377","-0.23015873015873","0.14168136390359","0.17166372721928","-0.29012345679012","0.57730746619635","0.24514991181658","0.073486184597296","-0.14697236919459","0.14785420340976","0.11199294532628","-0.19077013521458","0.41211052322163","0.078483245149912","0.058201058201058","0.26484420928865","-0.14168136390359","0.14226925338037","0.37272192827748","0.06848912404468","-0.27895355673133","0.81363903586126","0.098471487360376","0.063198118753674","-0.55878894767784","0.57319223985891","0.059376837154615","-0.32304526748971","0.21575543797766","2"
"etudiant_2","0.075471698113208","0.043409420767911","0.050006597176408","0.035360865549545","0.041166380789022","0.04578440427497","0.071249505211769","0.06940229581739","0.24871355060034","0.95157672516163","0.23934556010028","0.12930465760654","0.12033249769099","0.058582926507455","0.14263095395171","0.11347143422615","0.097110436733078","0.044992743105951","0.033249769098826","0.058450982979285","0.043805251352421","0.035096978493205","0.37260852355192","0.44570523815807","0.086686898007653","0.075207811056868","0.086423010951313","0.084311914500594","0.047895500725689","0.060562079430004","0.04552051721863","0.11202005541628","0.11756168359942","0.04657606544399","0.032721994986146","0.1488322997757","0.084048027444254","0.09288824383164","0.13088797994458","0.16334608787439","0.04578440427497","0.10542287900779","0","0.1005409684655","0.072832827549809","0.13801293046576","0.18142235123367","0.10661037076131","0.044860799577781","0.052909354796147","0.12046444121916","0.13550600343053","0.050270484232748","0.078902229845626","0.050930201873598","0.043277477239741","0.034965034965035","0.041694154901702","0.043145533711571","0.11663807890223","0.030610898535427","0.02427760918327","0.058450982979285","0.035360865549545","0.073492545190658","0.02374983507059","0.024541496239609","0.034965034965035","0.033117825570656","0.035096978493205","0.02388177859876","1"
"etudiant_3","0.082065906210393","0.36660329531052","0.1010773130545","0.12008871989861","0.36058301647655","0.07256020278834","0.085868187579214","0.17648922686946","0","0.24524714828897","0.13022813688213","0.21736375158428","0.33079847908745","0.10266159695818","0.21229404309252","0.30481622306717","0.38212927756654","0.12515842839037","0.1010773130545","0.17458808618504","0.21926489226869","0.24334600760456","0.83745247148289","0.30481622306717","0.20373891001267","0.051647655259823","0.29974651457541","0.13529784537389","0.15779467680608","0.19011406844106","0.30671736375158","0.21546261089987","0.22972116603295","0.10456273764259","0.13022813688213","0.12325728770596","0.16318124207858","0.14543726235741","0.083967046894804","0.44866920152091","0.078897338403042","0.53929024081115","0.0019011406844107","0.15589353612167","0.46102661596958","0.094423320659062","0.21546261089987","0.19359949302915","0.20659062103929","0.18060836501901","0.17839036755387","0.13529784537389","0.083967046894804","0.22591888466413","0.16128010139417","0.23922686945501","0.11533586818758","0.10519645120406","0.12515842839037","0.25348542458809","0.1245247148289","0.46419518377693","0.52503168567807","0.70627376425856","0.39733840304182","0.10266159695818","0.11660329531052","0.082382762991128","0.047845373891001","0.202154626109","0.065272496831432","2"
"etudiant_4","0.95354033797309","0.047064848005214","0.025557469391555","0","0.31353288953028","0.010520925469019","0.082212187514548","0.002886271588846","0.55095200409664","0.20753223779154","0.19864065918719","0.046878636934966","0.10749034030073","0.047390717378148","0.044550998556864","0.0011172664214888","0.031330012569247","0.0081467343233555","0.039988827335785","0.059308225874028","0.034914575671524","0.21316512266654","0.05316326055584","0.052418416274848","0.10600065173875","0.10069363623667","0.073506819980448","0.09166239932964","0.1044644104092","0.043340626600251","0.0011172664214888","0.031981751315116","0.30627065779061","0.078534518877147","0.097947022950514","0.86644010986453","0.085610539546576","0.074391322564126","0.021367720310973","0.062939341743867","0.044876867929798","0.03002653507751","0.00093105535124063","0.019831478981425","0.020715981565104","0.0078674177179833","0.15055165029561","0.016433126949397","0.021926353521717","0.029048926958708","0.018388343187003","0.058051301149853","0.031655881942182","0.041850938038266","0.017736604441134","0.029281690796518","0.041525068665332","0.00037242214049625","0.00032586937293422","0.027000605185978","0.02588333876449","0.033657650947349","0.042316465713887","0.015408966063032","0.029747218472138","0.016153810344025","0.012010614031004","0.046040687118849","0.030119640612634","0.056654718122992","0.0070294679018668","1"
"etudiant_5","0.020735299743678","0.98140709284977","0.072190978996901","0.020199701595317","0.028118902788936","0.016794827652167","0.011744902253338","0.011209304104977","0.035311220781208","0.16687708022495","0.058418455181912","0.036879758215693","0.040590688243621","0.020467500669498","0.04154711350855","0.020390986648303","0.18034354795516","0.039710776999885","0.027315505566395","0.042197482688703","0.094265274111481","0.035999846971958","0.03787444049122","0.25857913462642","0.044645931366923","0.031676804774475","0.059527908489231","0.021729982019205","0.20555491793871","0.035732047897777","0.066988025555683","0.030414323424768","0.04032288916944","0.03351314128314","0.017330425800528","0.026856421439229","0.038524809671372","0.017177397758139","0.025058341941161","0.027047706492215","0.02260989326294","0.033283599219557","0.010558934924825","0.035311220781208","0.025440912047133","0.01553234630246","0.37621944221279","0.021959524082788","0.014881977122308","0.0286162439267","0.018554650139638","0.028539729905505","0.017406939821722","0.052335590496959","0.0071923179922721","0.017636481885306","0.018363365086652","0.014881977122308","0.02670339339684","0.012854355560656","0.044339875282146","0.11255212517694","0.015761888366043","0.047132637055741","0.049007230575003","0.023642832549065","0.0079957152148131","0.018248594054861","0.0091051685221317","0.0093347105857148","0","1"
"etudiant_6","0.00056866647711117","0.068524310491897","0.17514927495024","0.15695194768268","0.20756326414558","0.11515496161501","0.10122263292579","0.065396644867785","0.059425646858118","0.34546488484504","0.2721069092977","0.17059994313335","0.40545919818027","0.18453227182258","0.16121694626102","0.13392095535968","0.069092976969008","0.10605629798123","0.087574637475121","0.12453795848735","0.17059994313335","0.096957634347455","0.953938015354","0.91896502701166","0.25646858117714","0.16235427921524","0.008245663918112","0","0.0093829968723344","0.013932328689224","0.0045493318168894","0.0093829968723344","0.12908729030424","0.098663633778789","0.039522320159227","0.083025305658231","0.10605629798123","0.10605629798123","0.05089564970145","0.013647995450668","0.1248222917259","0.40090986636338","0.24879158373614","0.092408302530566","0.77878874040375","0.13363662212113","0.19818026727324","0.13847028717657","0.18908160363946","0.22121125959625","0.18908160363946","0.18140460619846","0.14131361956213","0.17969860676713","0.25533124822292","0.16434461188513","0.11060562979812","0.083025305658231","0.027580324139892","0.11060562979812","0.0093829968723344","0.083025305658231","0.0090986636337788","0.29968723343759","0.083025305658231","0.0090986636337788","0.0093829968723344","0.72988342337219","0.0034119988626671","0.00056866647711117","0.017628660790446","1"
"etudiant_7","0.06686286050618","0.16986462625074","0.16409652736904","0.062978222483814","0.095350206003532","0.045791642142437","0.063684520306062","0.14432018834609","0.061094761624485","0.032489699823425","0.053325485579753","0.10311948204826","0.10111830488523","0.17939964685109","0.10618010594467","0.056621542083579","0.19022954679223","0.061801059446733","0.062860506180106","0.075691583284285","0.065450264861683","0.13301942319011","0.19152442613302","0.077457327839906","0.16409652736904","0.057327839905827","0.22130665097116","0.1240729841083","0.10347263095939","0.12360211889347","0.23660977045321","0.28240141259564","0.091583284284874","0.070629782224838","0.087463213655091","0.093819894055327","0.072630959387875","0.12007062978223","0.065567981165391","0.045791642142437","0.088993525603296","0.084638022366098","0.075691583284285","0.042024720423779","0","0.11701000588582","0.11300765155974","0.11912889935256","0.065567981165391","0.059329017068864","0.1824602707475","0.093349028840494","0.97327839905827","0.19081812831077","0.091583284284874","0.098057680988817","0.18128310771042","0.08204826368452","0.087698646262507","0.55091230135374","0.0437904649794","0.095467922307239","0.13360800470865","0.085815185403178","0.099234844025898","0.082754561506769","0.20353148911124","0.050147145379635","0.072748675691583","0.21483225426722","0.10747498528546","1"
"etudiant_8","0.021142109851787","0.024629468177855","0","0.0032693984306888","0.070619006102877","0.091761115954664","0.10353095030514","0.059938971229294","0.39210985178727","0.084786399302528","0.11508282476024","0.04947689625109","0.11639058413252","0.38513513513513","0.10571054925894","0.12358326068004","0.18025283347864","0.12118570183086","0.33500435919791","0.073452484742807","0.10309503051438","0.18635571054926","0.15540540540541","0.14189189189189","0.24651264167393","0.084786399302528","0.088273757628596","0.13164777680907","0.10483870967742","0.13753269398431","0.42523975588492","0.79359197907585","0.10941586748038","0.18722755013078","0.12009590235397","0.109197907585","0.40278988666085","0.12859633827376","0.11159546643418","0.13535309503051","0.12227550130776","0.11639058413252","0.067131647776809","0.084786399302528","0.095248474280732","0.0987358326068","0.091761115954664","0.074106364428945","0.084786399302528","0.13055797733217","0.20836965998256","0.095248474280732","0.081081081081081","0.36050566695728","0.21294681778553","0.051656495204882","0.10723626852659","0.083478639930253","0.084786399302528","0.11617262423714","0.11312118570183","0.10941586748038","0.22253705318221","0.79838709677419","0.18352223190933","0.063426329555362","0.37096774193548","0.90802092414996","0.060156931124673","0.14799476896251","0.30034873583261","1"
"etudiant_9","0.016456105341559","0.029010150976452","-0.037521606543094","0.042777442066358","0","0","0","0","0.083816991994454","0","0.096623992280199","0","0","0","0","-0.22107768049954","0","0.24501468542279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.73943328789518","0","0","0","0","0","0","-0.79298004000431","-0.8005967856022","0","0.8220791935431","0.82549408132961","0.83355583973918","0","0.84500437986294","0.85159056947587","0","0","0","0.89796558879879","0","0.91125039231393","-0.91979463829827","0","-0.95173250514107","0","0.96499857127466","0","-0.97473264098709","-0.97935140553783","0.98323004351757","0.98776917419675","0","1","2"
